"fielder_pos","inning","batting_run_differential","outs_on_play","runs_on_play","throw","exchange","throw_dist","time_to_catch","ball_vx_0","ball_vz_0","ball_vy_0","ball_v_0","ball_ax_0","ball_az_0","ball_ay_0","ball_apex_x","ball_apex_y","ball_apex_z","player_px_7_0","player_py_7_0","player_px_8_0","player_py_8_0","player_px_9_0","player_py_9_0","landing_location_x","landing_location_y","launch_angle","launch_direction","launch_speed","runner_season_top_velo","runner_id","fielder_id","fielding_team_id","hitting_team_id","play_id"
7,0,-1,0,1,NA,1.167,214.673,3.737,-36.25285,37.43378,69.35719,86.75239,1.05194,-23.00382,-28.87653,-92.45663,151.45067,52.72903,-140.423,269.425,-25.898,318.557,119.158,271.405,-174.23101,264.2921,25.90293,-27.33535,87.9964,8.313,118,85,16,30,952
9,4,-3,0,1,74.493,2.368,153.734,3.704,15.03125,35.74086,93.61368,101.32556,1.59364,-19.03262,-31.4839,52.4222,196.39588,47.46807,-148.575,259.591,-11.254,321.966,135.451,269.936,116.6935,338.05137,20.95881,8.79463,102.83308,8.313,118,477,21,30,953
8,7,-1,0,1,NA,1.268,275.537,5.772,-7.70588,62.56749,58.69539,86.13489,-0.67352,-27.31559,-35.17692,-6.9802,158.84367,122.74645,-151.334,252.862,-8.745,320.708,134.951,263.584,1.34616,281.81449,46.55782,-7.80121,87.71897,8.313,118,477,21,30,954
7,4,-3,0,1,85.6,2.1,240,5.066,-32.45475,51.3281,69.61025,92.37679,2.12593,-22.32386,-26.82503,-109.13926,184.30214,95.65532,-127.27232,292.12736,24.17212,327.62837,155.73329,248.33348,-206.30803,318.94086,34.4721,-25.21747,93.82943,7.95,118,301,2,30,955
8,6,-2,0,1,NA,NA,NA,2.56,13.87011,22.51405,99.02046,102.49055,1.36124,-22.68804,-27.94359,18.15718,171.81382,24.07754,-112.33,250.394,15.244,305.812,134.122,263.538,26.94033,309.68321,12.41332,8.22461,103.38524,9.556,119,281,29,19,956
9,1,0,0,1,NA,NA,NA,2.96,34.65848,32.78124,93.39638,104.87471,0.23218,-28.02755,-35.59151,72.68669,166.40756,37.98747,-138.561,269.416,10.847,330.448,137.236,264.359,144.75592,288.74846,17.92535,19.59303,105.81168,9.556,119,167,27,19,957
8,3,0,0,1,73.208,1.32,147.287,3.68,-6.18864,30.18526,94.68971,99.57706,1.28469,-20.34781,-29.28107,-14.52342,205.03975,46.27891,-151.803,258.359,-17.66,310.522,134.402,264.485,-23.70329,360.98518,17.26011,-3.64472,100.5522,9.556,119,70,12,19,958
8,1,0,0,1,55.995,NA,132.08,3.64,6.16581,32.22729,92.86095,98.48742,1.28469,-20.34781,-29.28107,6.65233,196.7259,45.56332,-135.059,230.25,13.764,314.568,137.948,265.453,4.83208,345.15506,19.29374,3.89143,99.76243,9.556,119,269,28,19,959
7,1,0,0,1,98.629,NA,207.973,4.88,-18.87346,48.9471,53.93456,75.23937,1.60881,-27.57795,-27.13824,-47.46749,138.85001,84.53563,-114.595,253.053,31.745,310.018,137.357,260.237,-80.52062,251.92019,40.66273,-19.34912,76.60494,9.556,119,323,4,19,960
7,1,0,0,1,85.518,1.101,191.175,4.538,-17.74437,43.84757,73.36659,87.29335,1.78651,-19.56682,-30.68182,-67.85685,173.47802,72.14458,-129.189,270.282,13.643,306.214,118.908,242.911,-145.44481,285.89923,30.3099,-13.22951,88.73426,9.3,119,97,9,19,961
8,8,-7,0,1,NA,0.867,279.807,3.303,-6.32947,26.8409,86.41894,90.71234,1.36086,-20.96977,-24.27679,-5.93634,183.7878,36.47425,-138.268,265.479,-8.821,337.134,113.306,271.986,-7.9899,318.45091,17.40064,-4.40252,91.88534,9.3,119,35,28,19,962
9,0,0,0,1,NA,1.334,235.102,5.305,7.18676,53.35093,83.59843,99.43173,2.14869,-18.9338,-36.04022,45.07643,207.10597,96.94009,-127.354,257.737,10.761,304.893,130.57,249.851,108.7866,345.74514,31.85564,4.97151,100.54636,9.3,119,28,18,19,963
7,6,-4,0,1,80.678,1.334,170.519,5.205,-7.82515,47.89952,73.96943,88.47075,0.83374,-20.80449,-32.52939,-43.24819,193.82031,88.16894,-131.523,256.457,19.451,303.069,162.55,249.673,-92.0184,321.79939,32.71888,-6.7174,90.74729,9.3,119,86,12,19,964
8,8,3,0,1,82.542,0.833,258.557,5.439,-2.91154,56.4537,56.6969,80.0627,0.02376,-24.5059,-28.74096,-25.158,146.9887,105.51546,NA,NA,NA,NA,NA,NA,-74.13375,266.60212,43.59075,-5.16089,84.82917,9.3,119,198,27,19,965
8,6,0,0,1,57.161,1.702,116.355,5.005,-0.10035,50.02947,65.41549,82.35377,1.11316,-22.79764,-27.70257,-14.58498,165.11071,86.4246,-127.74,257.157,5.003,298.518,127.869,251.929,-42.51917,277.44481,37.41072,0.14065,84.00874,9.3,119,26,3,19,966
9,6,-4,0,0,NA,1.034,250.361,5.772,20.18344,64.4996,42.12534,79.63739,-2.71894,-33.20169,-26.41275,57.22318,105.31569,125.08468,NA,NA,NA,NA,NA,NA,110.31395,184.35063,53.05235,25.73483,80.98776,9.335,119,167,27,19,967
8,4,1,0,1,90.146,0.967,183.591,5.305,0.39944,54.1207,57.43816,78.9199,0.02376,-24.5059,-28.74096,8.87977,150.4464,98.3345,-140.176,250.862,15.29,297.266,134.026,223.991,23.21403,266.74521,43.10562,0.40652,80.17587,9.335,119,432,9,19,968
8,6,3,0,1,82.248,1.135,229.996,3.403,-13.19815,31.0534,81.30164,88.02535,1.69626,-19.88358,-26.07523,-19.25054,175.53522,43.8785,-131.323,258.611,17.04,294.989,134.104,230.435,-20.34046,315.22211,20.89187,-9.41092,89.15569,9.335,119,432,9,19,969
7,7,-2,0,1,NA,1.468,243.081,6.006,-27.89731,59.53152,71.37778,97.04148,6.13675,-23.36961,-37.44679,-79.78307,190.50119,123.63063,NA,NA,NA,NA,NA,NA,-129.89546,328.73747,37.74806,-21.39091,99.06341,9.335,119,74,10,19,970
9,5,6,0,0,NA,1.068,222.32,5.939,20.37955,73.00558,42.18737,86.74627,-4.2128,-35.95352,-30.97083,78.2784,96.16032,141.61615,-138.453,264.407,30.228,310.228,140.501,235.491,150.90018,169.67913,57.14551,25.21194,88.53882,9.335,119,369,28,19,971
9,5,7,0,1,68.784,3.37,169.037,2.57,23.83305,22.84845,83.93071,90.19107,0.72657,-24.75687,-28.43384,48.57719,128.80252,23.06636,-130.7,264.095,12.329,336.302,123.588,254.006,107.46851,225.48225,14.97659,15.49743,91.42727,9.335,119,320,17,19,972
8,6,2,0,1,71.202,2.24,162.77,4.28,-10.50284,36.33131,91.64378,99.14059,1.59364,-19.03262,-31.4839,-10.21493,219.65472,60.31249,-140.707,260.88,-6.9,325.187,132.088,274.09,2.00842,383.0917,21.49259,-6.64449,100.53635,8.735,120,250,1,8,973
9,1,-2,0,1,95.319,NA,191.274,2.48,21.28123,20.09032,96.28671,100.63619,0.49594,-24.94699,-28.03712,46.37497,151.90079,21.82407,-157.917,248.986,-55.356,320.054,120.919,263.559,100.93094,263.24769,11.62801,12.1336,102.13684,8.735,120,143,12,29,974
8,7,2,0,1,86.079,1.268,216.964,5.172,-3.47238,47.72479,80.38435,93.54868,2.14869,-18.9338,-36.04022,10.63015,217.41319,91.46248,-131.539,264.909,22.631,323.565,135.929,248.06,47.25882,378.79652,30.79714,-2.62709,95.31651,8.463,120,35,28,29,975
9,5,-3,0,1,90.869,1,200.663,5.805,20.89376,64.14893,61.51602,91.3009,-2.79322,-31.04955,-34.06744,81.36464,150.26992,123.30634,-121.421,286.411,27.78,327.013,126.341,245.275,164.27656,256.37149,44.64462,18.30491,92.88136,8.463,120,167,27,29,976
9,2,1,0,1,83.806,0.866,185.66,3.47,17.93061,31.68979,66.053,75.42379,0.56772,-20.1635,-21.83802,47.53572,134.93828,42.32285,-126.086,287.503,16.982,301.954,128.956,243.115,100.20156,236.68958,25.11381,14.99446,76.49787,8.463,120,38,3,29,977
8,7,-6,0,1,NA,1.101,176.965,5.739,5.87559,54.40203,71.94889,90.39218,0.87154,-22.78018,-34.38451,5.84805,202.48678,111.13955,NA,NA,NA,NA,NA,NA,-4.54475,348.3564,36.95766,4.56328,91.8433,8.7,120,26,3,29,978
8,8,4,0,1,NA,NA,NA,4.16,3.83504,40.5214,59.34076,71.95844,0.57115,-21.4937,-20.89625,0.4205,142.63409,63.83315,-152.453,220.917,-52.972,297.079,104.418,247.907,-17.98227,255.87479,34.37027,3.85841,72.57448,9.425,121,70,12,17,979
7,2,0,0,1,67.687,1.08,170.902,3.4,-25.49452,35.49774,85.85586,96.33944,0.39637,-23.31935,-32.11684,-66.57569,165.20885,43.87611,-139.007,242.613,-19.942,317.378,117.636,279.703,-150.9258,285.03008,21.42581,-15.65612,96.87686,9.425,121,62,20,17,980
8,6,0,0,1,67.835,1.469,165.585,3.503,-16.92329,31.11556,88.35223,95.18767,1.28469,-20.34781,-29.28107,-28.43253,188.26726,43.28542,-132.793,267.711,-8.484,310.31,134.194,254.502,-42.54391,336.45433,19.23029,-10.97418,96.49403,9.466,121,269,28,13,981
9,9,5,0,1,62.703,1.869,150.095,3.336,31.482,35.52285,76.25809,89.82363,0.31308,-23.57902,-28.85388,76.41805,154.88414,44.06237,-132.408,241.405,-15.074,306.664,113.367,282.283,151.36559,279.73111,23.69645,22.11433,91.0108,9.113,121,105,29,13,982
9,7,1,0,1,90.151,1.034,228.92,4.538,14.77298,45.89781,65.22233,81.10982,0.42792,-21.30652,-25.82851,53.50064,158.84536,74.41794,-132.706,274.052,21.273,308.056,150.374,247.16,120.1048,271.84744,34.71258,12.47722,82.36708,9.113,121,238,24,13,983
8,9,0,0,1,89.033,NA,179.658,3.04,4.55632,27.14478,80.30382,84.88994,1.36086,-20.96977,-24.27679,2.24956,155.33982,33.58184,-121.634,219.469,-9.507,276.184,118.01,206.066,-9.08706,281.52488,18.94322,3.39438,85.94535,9.512,122,80,11,28,984
9,8,-1,0,1,92.929,1.101,203.006,3.27,13.44885,32.31428,74.93706,82.70821,1.33041,-20.78208,-20.37793,42.39045,145.12003,41.01609,-143.089,277.362,-20.951,353.8,118.61,263.125,100.47199,253.79936,23.30831,9.78846,84.0258,9.61,122,133,10,28,985
7,0,0,0,0,90.15,1.101,169.032,4.171,-23.48763,39.44071,53.40325,70.4212,1.8622,-23.16719,-19.48903,-56.76494,123.79904,61.03565,-122.442,221.475,26.057,271.806,117.47,225.652,-102.86338,215.62241,34.23801,-23.71098,71.58372,9.61,122,295,1,3,986
8,7,2,0,1,76.508,1.48,193.269,4.92,6.51756,50.08958,87.59234,101.11312,2.14869,-18.9338,-36.04022,7.99903,229.89633,86.12506,-145.607,258.169,-32.117,326.584,111.262,278.608,9.38835,398.25998,29.91203,4.38991,102.82818,8.938,123,161,26,6,987
8,2,5,0,1,NA,1.159,209.217,5.16,4.35635,47.15667,77.00602,90.40275,1.78651,-19.56682,-30.68182,25.80814,204.14485,87.94057,-136.708,268.016,20.801,318.24,145.508,248.02,61.01736,349.28035,31.49238,3.19792,91.45034,8.561,124,250,1,30,988
8,5,1,0,1,90.607,1.24,245.702,3.36,12.30667,29.39827,78.49141,84.7149,1.69626,-19.88358,-26.07523,23.64734,159.75561,39.60793,-121.87,253.277,11.648,313.07,133.626,256.698,39.03317,286.5479,20.45578,8.87032,85.74899,8.561,124,215,21,30,989
7,3,0,0,1,84.686,1.167,215.003,4.672,-25.23734,45.3385,64.16773,82.52273,2.15067,-23.92791,-25.78911,-69.82989,165.18167,76.85285,-138.177,264.741,-14.116,318.634,130.547,264.628,-123.73203,292.72404,33.44513,-21.32439,83.86327,7.358,124,39,1,30,990
7,6,7,0,1,52.074,2.12,116.265,2.36,-39.38577,21.36921,86.82054,97.70204,-0.59198,-26.51506,-31.99939,-67.14518,117.99111,20.37612,-142.045,236.462,11.802,306.727,127.534,254.068,-143.80919,205.0518,12.93082,-24.00641,99.16639,8.503,125,59,17,7,991
9,9,-8,0,0,85.425,1.202,198.321,5.338,6.78995,58.75741,51.99604,78.75357,-1.09325,-28.63882,-28.98075,34.87219,144.30813,107.6058,-123.315,271.231,14.242,292.515,133.41,248.253,75.38497,269.08291,48.38569,7.26904,79.65584,8.63,125,66,2,15,992
8,3,1,0,0,96.943,1.101,145.869,5.472,5.63371,55.65782,55.84233,79.04364,-0.04905,-26.18173,-29.2572,4.4573,143.23659,103.80304,-130.662,247.78,-13.285,298.343,126.696,255.616,-0.06951,254.76777,44.52322,5.91332,80.662,8.63,125,246,7,15,993
8,6,4,0,1,68.517,1.401,147.707,6.14,-12.31602,57.65863,54.30066,80.15462,-0.67352,-27.31559,-35.17692,-4.98734,160.34549,117.66569,-135.77,267.827,-16.818,329.454,113.967,277.981,41.83116,305.53648,44.977,-4.90351,93.56175,7.256,126,371,23,5,994
9,4,-3,0,1,88.829,NA,223.646,4.48,13.41633,46.34677,58.08123,75.50795,1.11316,-22.79764,-27.70257,49.98411,133.97372,73.10258,-128.463,260.234,8.901,295.018,130.611,259.722,114.23553,232.45163,37.99435,12.64473,76.96093,9.136,127,79,5,8,995
8,1,-1,0,1,81.864,2.359,194.193,4.8,-5.97857,42.77328,89.78986,99.63692,1.71784,-18.26229,-33.64504,-35.29839,233.29764,75.18108,-140.267,266.718,-18.483,330.109,145.949,282.92,-85.46275,398.48959,25.57505,-3.57529,101.10235,9.136,127,250,1,8,996
7,2,2,0,1,NA,1.268,169.037,5.372,-27.83152,53.58085,58.02096,83.73728,2.95955,-25.14477,-33.12866,-88.88314,156.72697,101.95163,-139.1,279.814,-10.421,331.792,121.322,258.354,-162.3956,272.87525,39.71637,-25.6116,85.03219,9.194,127,81,19,8,997
9,3,-2,0,1,81.042,1.167,177.461,6.674,16.87248,73.59744,60.25269,96.60047,-8.13259,-31.39869,-37.7184,72.99122,171.28223,157.4092,-133.742,296.341,17.24,331.284,151.212,271.655,143.07677,296.00715,49.59426,15.37545,98.30965,9.194,127,417,1,8,998
7,4,2,0,1,98.473,1.3,250.54,2.436,-30.08086,28.23838,95.46175,103.9962,0.74114,-25.75764,-34.45666,-51.34255,138.75328,25.2158,-135.184,270.554,-9.325,332.562,127.826,273.06,-110.13963,262.95774,16.21776,-17.21474,105.31601,9.194,127,369,28,8,999
9,5,5,0,1,NA,2.835,173.672,3.437,27.77909,33.0551,83.81914,94.28662,0.17082,-23.82077,-33.40291,76.53583,166.87114,43.34482,-137,268.02,-12.561,332.508,140.754,264.312,166.66363,283.74807,20.76453,17.9134,95.37657,9.194,127,220,30,8,1000
8,1,0,0,1,68.025,1.667,206.47,3.37,3.74653,29.60641,93.9542,98.57975,1.28469,-20.34781,-29.28107,22.03461,195.7942,39.39352,-122.845,292.674,29.327,317.969,156.819,241.494,59.86607,348.08372,17.68972,2.04921,99.811,9.194,127,212,26,8,1001
9,1,0,0,1,NA,1.935,195.542,4.038,31.54208,42.1305,72.5628,89.63951,-1.04065,-24.39742,-32.00545,96.00257,158.20366,62.20835,-134.149,266.67,11.946,323.755,143.181,268.569,197.76953,251.69284,28.28753,23.10618,91.02391,9.194,127,56,25,8,1002
8,7,4,0,1,NA,2.269,214.688,5.271,8.35779,50.03795,81.008,95.58214,1.20653,-20.20171,-37.6994,39.60523,215.05384,94.47928,-138.126,257.257,-6.418,316.576,132.698,261.33,87.91665,363.02885,32.02936,6.05292,97.22452,9.194,127,45,18,8,1003
